FIR_Date,Latitude,Longitude,CrimeGroup_Name,Year,Month,Day,DayOfWeek,grid
2021-04-30,16.040963,75.9371419,PUBLIC SAFETY,2021,4,30,4,"(63,39)"
2021-05-03,16.056864,75.941826,PUBLIC SAFETY,2021,5,3,0,"(63,39)"
2021-06-02,16.03214,75.925133,PUBLIC SAFETY,2021,6,2,2,"(63,39)"
2021-06-02,15.993804,75.943679,PUBLIC SAFETY,2021,6,2,2,"(62,39)"
2021-12-18,15.918371,75.680546,PUBLIC SAFETY,2021,12,18,5,"(61,34)"
2022-01-17,15.907857,75.500451,PUBLIC SAFETY,2022,1,17,0,"(61,30)"
2022-01-18,15.983859,75.696241,PUBLIC SAFETY,2022,1,18,1,"(62,34)"
2020-11-22,16.18670951,75.60249562,PUBLIC SAFETY,2020,11,22,6,"(65,32)"
2020-11-22,16.1327707,75.69614,PUBLIC SAFETY,2020,11,22,6,"(64,34)"
2021-04-27,16.146344,75.674718,PUBLIC SAFETY,2021,4,27,1,"(64,34)"
2021-06-02,16.159716,75.680712,PUBLIC SAFETY,2021,6,2,2,"(65,34)"
2020-03-24,16.184891,75.699667,PUBLIC SAFETY,2020,3,24,1,"(65,34)"
2020-03-28,16.18672918,75.71486888,PUBLIC SAFETY,2020,3,28,5,"(65,35)"
2020-04-14,16.190122,75.7033309,PUBLIC SAFETY,2020,4,14,1,"(65,34)"
2020-07-12,16.21370965,75.69614,PUBLIC SAFETY,2020,7,12,6,"(65,34)"
2021-04-06,16.187465,75.701322,PUBLIC SAFETY,2021,4,6,1,"(65,34)"
2021-06-02,16.484726,75.129697,PUBLIC SAFETY,2021,6,2,2,"(69,23)"
2022-01-20,16.11478427,75.69614,PUBLIC SAFETY,2022,1,20,3,"(64,34)"
2023-04-03,16.284208,75.72469,PUBLIC SAFETY,2023,4,3,0,"(66,35)"
2020-08-30,16.1867298,75.70550444,PUBLIC SAFETY,2020,8,30,6,"(65,34)"
2021-05-05,16.405441,75.605838,PUBLIC SAFETY,2021,5,5,2,"(68,32)"
2021-06-02,16.34658,75.622033,PUBLIC SAFETY,2021,6,2,2,"(67,33)"
2021-04-27,15.982265,75.754494,PUBLIC SAFETY,2021,4,27,1,"(62,35)"
2021-04-27,15.983544,75.753454,PUBLIC SAFETY,2021,4,27,1,"(62,35)"
2021-04-30,16.016347,75.712738,PUBLIC SAFETY,2021,4,30,4,"(63,35)"
2021-06-01,16.049479,75.789955,PUBLIC SAFETY,2021,6,1,1,"(63,36)"
2021-06-01,16.048406,75.793725,PUBLIC SAFETY,2021,6,1,1,"(63,36)"
2021-10-20,16.18672816,75.72423332,PUBLIC SAFETY,2021,10,20,2,"(65,35)"
2020-04-25,16.18672918,75.67741112,PUBLIC SAFETY,2020,4,25,5,"(65,34)"
2020-04-28,16.008581,75.990166,PUBLIC SAFETY,2020,4,28,1,"(63,40)"
2020-05-01,16.11478427,75.69614,PUBLIC SAFETY,2020,5,1,4,"(64,34)"
2020-05-03,16.18672262,75.75232663,PUBLIC SAFETY,2020,5,3,6,"(65,35)"
2020-05-04,16.065046,76.058074,PUBLIC SAFETY,2020,5,4,0,"(63,42)"
2020-05-23,16.1867298,75.68677556,PUBLIC SAFETY,2020,5,23,5,"(65,34)"
2020-07-09,16.16874357,75.69614,PUBLIC SAFETY,2020,7,9,3,"(65,34)"
2021-06-01,16.067165,76.05545,PUBLIC SAFETY,2021,6,1,1,"(63,41)"
2021-06-02,16.056127,76.032487,PUBLIC SAFETY,2021,6,2,2,"(63,41)"
2021-06-02,16.202334,76.053066,PUBLIC SAFETY,2021,6,2,2,"(65,41)"
2021-06-04,16.059852,76.050892,PUBLIC SAFETY,2021,6,4,4,"(63,41)"
2021-06-11,16.160225,76.132541,PUBLIC SAFETY,2021,6,11,4,"(65,43)"
2021-06-14,16.168101,76.13979,PUBLIC SAFETY,2021,6,14,0,"(65,43)"
2021-06-25,16.207262,76.059797,PUBLIC SAFETY,2021,6,25,4,"(65,42)"
2021-06-27,16.115897,76.194254,PUBLIC SAFETY,2021,6,27,6,"(64,44)"
2021-06-29,16.055141,76.041926,PUBLIC SAFETY,2021,6,29,1,"(63,41)"
2021-06-29,16.056172,76.061603,PUBLIC SAFETY,2021,6,29,1,"(63,42)"
2020-04-02,15.9592298,76.12286373,PUBLIC SAFETY,2020,4,2,3,"(62,43)"
2020-04-22,15.955425,76.121801,PUBLIC SAFETY,2020,4,22,2,"(62,43)"
2020-04-24,16.18672816,75.66804668,PUBLIC SAFETY,2020,4,24,4,"(65,34)"
2020-05-01,16.15075714,75.69614,PUBLIC SAFETY,2020,5,1,4,"(65,34)"
2020-05-03,15.966682,76.116208,PUBLIC SAFETY,2020,5,3,6,"(62,43)"
2022-01-28,16.17773678,75.69614,PUBLIC SAFETY,2022,1,28,4,"(65,34)"
2022-02-25,16.17773678,75.69614,PUBLIC SAFETY,2022,2,25,4,"(65,34)"
2021-07-05,15.965943,76.263477,PUBLIC SAFETY,2021,7,5,0,"(62,46)"
2022-11-16,16.14176392,75.69614,PUBLIC SAFETY,2022,11,16,2,"(64,34)"
2020-06-29,16.501114,75.297818,PUBLIC SAFETY,2020,6,29,0,"(69,26)"
2020-05-21,16.17736,75.60755,PUBLIC SAFETY,2020,5,21,3,"(65,33)"
2020-07-03,16.19874688,75.4990676,PUBLIC SAFETY,2020,7,3,4,"(65,30)"
2020-03-21,16.19212593,75.69614,PUBLIC SAFETY,2020,3,21,5,"(65,34)"
2021-06-01,16.017765,75.548957,PUBLIC SAFETY,2021,6,1,1,"(63,31)"
2018-01-15,16.3859243,75.3671267,PUBLIC SAFETY,2018,1,15,0,"(68,28)"
2021-06-02,16.161838,75.368398,PUBLIC SAFETY,2021,6,2,2,"(65,28)"
2022-11-16,16.18672672,75.73359775,PUBLIC SAFETY,2022,11,16,2,"(65,35)"
2022-11-16,16.18671689,75.62122449,PUBLIC SAFETY,2022,11,16,2,"(65,33)"
2018-01-03,16.19572322,75.69614,PUBLIC SAFETY,2018,1,3,2,"(65,34)"
2018-04-16,16.20471643,75.69614,PUBLIC SAFETY,2018,4,16,0,"(65,34)"
2018-10-31,16.20471643,75.69614,PUBLIC SAFETY,2018,10,31,2,"(65,34)"
2019-09-21,16.29317,75.312137,PUBLIC SAFETY,2019,9,21,5,"(66,27)"
2020-04-06,16.237985,75.382947,PUBLIC SAFETY,2020,4,6,0,"(66,28)"
2020-06-23,16.339673,75.28573,PUBLIC SAFETY,2020,6,23,1,"(67,26)"
2021-04-29,16.329453,75.298625,PUBLIC SAFETY,2021,4,29,3,"(67,26)"
2021-06-02,16.32996,75.286942,PUBLIC SAFETY,2021,6,2,2,"(67,26)"
2020-03-24,16.157797,75.664422,PUBLIC SAFETY,2020,3,24,1,"(65,34)"
2020-04-02,16.150485,75.657412,PUBLIC SAFETY,2020,4,2,3,"(65,34)"
2020-11-21,16.1867298,75.68677556,PUBLIC SAFETY,2020,11,21,5,"(65,34)"
2020-12-02,16.18762742,75.6575216,PUBLIC SAFETY,2020,12,2,2,"(65,34)"
2022-01-06,16.159592,75.673843,PUBLIC SAFETY,2022,1,6,3,"(65,34)"
2022-01-20,16.161206,75.661179,PUBLIC SAFETY,2022,1,20,3,"(65,34)"
2022-01-26,16.15924,75.673282,PUBLIC SAFETY,2022,1,26,2,"(65,34)"
2023-08-01,16.18672262,75.75232663,PUBLIC SAFETY,2023,8,1,1,"(65,35)"
2021-06-02,16.498076,75.054258,PUBLIC SAFETY,2021,6,2,2,"(69,21)"
2020-04-01,15.15474322,76.91751,PUBLIC SAFETY,2020,4,1,2,"(51,59)"
2020-04-01,15.15474322,76.91751,PUBLIC SAFETY,2020,4,1,2,"(51,59)"
2020-04-01,15.15474322,76.91751,PUBLIC SAFETY,2020,4,1,2,"(51,59)"
2020-04-02,15.15474322,76.91751,PUBLIC SAFETY,2020,4,2,3,"(51,59)"
2020-04-03,15.14574828,76.94546053,PUBLIC SAFETY,2020,4,3,4,"(51,59)"
2020-04-03,15.14574981,76.90819316,PUBLIC SAFETY,2020,4,3,4,"(51,59)"
2020-04-05,15.15474322,76.91751,PUBLIC SAFETY,2020,4,5,6,"(51,59)"
2020-04-05,15.15474322,76.91751,PUBLIC SAFETY,2020,4,5,6,"(51,59)"
2020-04-07,15.14574924,76.93614369,PUBLIC SAFETY,2020,4,7,1,"(51,59)"
2020-04-07,15.14574828,76.94546053,PUBLIC SAFETY,2020,4,7,1,"(51,59)"
2020-04-07,15.14574981,76.92682684,PUBLIC SAFETY,2020,4,7,1,"(51,59)"
2020-04-08,15.15474322,76.91751,PUBLIC SAFETY,2020,4,8,2,"(51,59)"
2020-04-09,15.14574828,76.94546053,PUBLIC SAFETY,2020,4,9,3,"(51,59)"
2020-04-10,15.15474322,76.91751,PUBLIC SAFETY,2020,4,10,4,"(51,59)"
