FIR_Date,Latitude,Longitude,CrimeGroup_Name,Year,Month,Day,DayOfWeek,grid
2016-06-29,16.02677358,75.79932497,RIOTS,2016,6,29,2,"(63,36)"
2016-07-12,16.02674438,75.74318362,RIOTS,2016,7,12,1,"(63,35)"
2016-08-10,15.81320498,75.91405,RIOTS,2016,8,10,2,"(60,39)"
2016-10-14,16.22623981,75.69614,RIOTS,2016,10,14,4,"(66,34)"
2017-05-27,16.10579106,75.69614,RIOTS,2017,5,27,5,"(64,34)"
2017-06-09,16.10281366,75.73275472,RIOTS,2017,6,9,4,"(64,35)"
2017-09-15,16.05535245,75.95782512,RIOTS,2017,9,15,4,"(63,40)"
2017-12-23,15.93685784,75.883537,RIOTS,2017,12,23,5,"(62,38)"
2017-12-24,15.93685784,75.883537,RIOTS,2017,12,24,6,"(62,38)"
2018-10-24,16.18672672,75.73359775,RIOTS,2018,10,24,2,"(65,35)"
2019-01-20,16.109622,75.931844,RIOTS,2019,1,20,6,"(64,39)"
2019-01-20,16.109778,75.93192,RIOTS,2019,1,20,6,"(64,39)"
2019-05-26,16.055115,75.860845,RIOTS,2019,5,26,6,"(63,38)"
2019-06-18,16.055984,75.944908,RIOTS,2019,6,18,1,"(63,39)"
2019-07-17,16.120104,75.903117,RIOTS,2019,7,17,2,"(64,38)"
2019-08-12,15.940925,75.915878,RIOTS,2019,8,12,0,"(62,39)"
2020-04-26,16.05312,75.981318,RIOTS,2020,4,26,6,"(63,40)"
2020-05-21,16.01989,75.8801,RIOTS,2020,5,21,3,"(63,38)"
2020-11-08,16.38458075,75.69614,RIOTS,2020,11,8,6,"(68,34)"
2020-11-09,15.91693352,75.69614,RIOTS,2020,11,9,0,"(61,34)"
2020-12-08,15.81320498,75.91405,RIOTS,2020,12,8,1,"(60,39)"
2021-08-12,15.867471,75.950924,RIOTS,2021,8,12,3,"(61,39)"
2022-03-17,16.0553525,75.95221018,RIOTS,2022,3,17,3,"(63,39)"
2022-05-28,15.943182,75.940569,RIOTS,2022,5,28,5,"(62,39)"
2022-05-28,15.943273,75.940656,RIOTS,2022,5,28,5,"(62,39)"
2022-10-16,15.77723211,75.91405,RIOTS,2022,10,16,6,"(60,39)"
2023-01-27,16.18672672,75.73359775,RIOTS,2023,1,27,4,"(65,35)"
2023-01-27,16.099446,75.901788,RIOTS,2023,1,27,4,"(64,38)"
2023-03-31,16.138594,75.827478,RIOTS,2023,3,31,4,"(64,37)"
2023-03-31,16.120007,75.846959,RIOTS,2023,3,31,4,"(64,37)"
2023-09-06,16.040748,75.939869,RIOTS,2023,9,6,2,"(63,39)"
2023-12-25,16.526545,75.562312,RIOTS,2023,12,25,0,"(70,32)"
2024-01-17,15.875711,75.951211,RIOTS,2024,1,17,2,"(61,39)"
2016-01-11,16.18663084,75.90215758,RIOTS,2016,1,11,0,"(65,38)"
2016-02-28,16.18654561,75.41520702,RIOTS,2016,2,28,6,"(65,29)"
2016-03-01,16.18654561,75.41520702,RIOTS,2016,3,1,1,"(65,29)"
2016-03-05,16.00686568,75.69614,RIOTS,2016,3,5,5,"(63,34)"
2017-04-02,16.18656938,75.43393586,RIOTS,2017,4,2,6,"(65,29)"
2017-04-04,15.90603331,75.23834546,RIOTS,2017,4,4,1,"(61,25)"
2017-08-30,16.1866839,75.55567344,RIOTS,2017,8,30,2,"(65,31)"
2017-09-15,15.90609365,75.29445295,RIOTS,2017,9,15,4,"(61,26)"
2018-03-28,15.90611055,75.31315545,RIOTS,2018,3,28,2,"(61,27)"
2018-03-28,15.90609365,75.29445295,RIOTS,2018,3,28,2,"(61,26)"
2018-05-24,16.17773678,75.69614,RIOTS,2018,5,24,3,"(65,34)"
2018-08-04,16.11478427,75.69614,RIOTS,2018,8,4,5,"(64,34)"
2018-09-12,16.19572322,75.69614,RIOTS,2018,9,12,2,"(65,34)"
2018-09-12,16.19572322,75.69614,RIOTS,2018,9,12,2,"(65,34)"
2018-10-07,16.18666362,75.86469986,RIOTS,2018,10,7,6,"(65,38)"
2019-02-07,15.887183,75.704976,RIOTS,2019,2,7,3,"(61,34)"
2019-02-25,15.887264,75.704374,RIOTS,2019,2,25,0,"(61,34)"
2019-08-03,15.843795,75.751971,RIOTS,2019,8,3,5,"(60,35)"
2020-04-30,15.948208,75.808027,RIOTS,2020,4,30,3,"(62,37)"
2020-05-15,15.936017,75.78859,RIOTS,2020,5,15,4,"(62,36)"
2020-06-14,15.898393,75.450738,RIOTS,2020,6,14,6,"(61,29)"
2021-01-13,15.933488,75.559388,RIOTS,2021,1,13,2,"(62,32)"
2021-01-30,15.93197,75.708767,RIOTS,2021,1,30,5,"(62,35)"
2021-06-26,15.941505,75.802338,RIOTS,2021,6,26,5,"(62,36)"
2021-07-03,15.90194,75.513511,RIOTS,2021,7,3,5,"(61,31)"
2021-10-05,15.946314,75.760926,RIOTS,2021,10,5,1,"(62,36)"
2021-10-11,15.945463,75.75787,RIOTS,2021,10,11,0,"(62,36)"
2021-10-31,16.09679784,75.69614,RIOTS,2021,10,31,6,"(64,34)"
2021-11-02,15.91693352,75.69614,RIOTS,2021,11,2,1,"(61,34)"
2022-01-22,15.873907,75.736506,RIOTS,2022,1,22,5,"(61,35)"
2022-01-23,15.841654,75.760746,RIOTS,2022,1,23,6,"(60,36)"
2022-03-13,15.96273,75.682759,RIOTS,2022,3,13,6,"(62,34)"
2022-03-17,15.920777,75.676166,RIOTS,2022,3,17,3,"(61,34)"
2022-03-21,15.919457,75.677942,RIOTS,2022,3,21,0,"(61,34)"
2022-05-02,15.997993,75.647921,RIOTS,2022,5,2,0,"(63,33)"
2023-01-30,16.20471643,75.69614,RIOTS,2023,1,30,0,"(65,34)"
2023-01-31,16.23169608,75.69614,RIOTS,2023,1,31,1,"(66,34)"
2023-03-03,16.18660195,75.46202914,RIOTS,2023,3,3,4,"(65,30)"
2023-04-19,16.18654561,75.41520702,RIOTS,2023,4,19,2,"(65,29)"
2023-04-19,16.18654561,75.41520702,RIOTS,2023,4,19,2,"(65,29)"
2023-07-01,15.902837,75.677984,RIOTS,2023,7,1,5,"(61,34)"
2023-12-12,15.897501,75.450002,RIOTS,2023,12,12,1,"(61,29)"
2016-01-22,16.18671689,75.62122449,RIOTS,2016,1,22,4,"(65,33)"
2016-01-31,16.1584899,75.82870972,RIOTS,2016,1,31,6,"(65,37)"
2016-02-04,16.18660195,75.93025086,RIOTS,2016,2,4,3,"(65,39)"
2016-02-23,16.36659432,75.69614,RIOTS,2016,2,23,1,"(67,34)"
2016-03-26,16.3033714,76.26589151,RIOTS,2016,3,26,5,"(67,46)"
2016-03-26,16.3033714,76.26589151,RIOTS,2016,3,26,5,"(67,46)"
2016-04-27,16.18654561,75.97707298,RIOTS,2016,4,27,2,"(65,40)"
2016-05-04,16.70839642,75.8910915,RIOTS,2016,5,4,2,"(72,38)"
2016-08-20,16.18670951,75.78978438,RIOTS,2016,8,20,5,"(65,36)"
2016-09-13,16.18654561,75.97707298,RIOTS,2016,9,13,1,"(65,40)"
2016-10-25,16.18644953,76.0426239,RIOTS,2016,10,25,1,"(65,41)"
2017-01-26,16.18656938,75.95834414,RIOTS,2017,1,26,3,"(65,40)"
2017-01-27,16.18654561,75.97707298,RIOTS,2017,1,27,4,"(65,40)"
2017-02-24,16.18647903,76.02389507,RIOTS,2017,2,24,4,"(65,41)"
2017-03-10,16.15075714,75.69614,RIOTS,2017,3,10,4,"(65,34)"
2017-03-21,16.14176392,75.69614,RIOTS,2017,3,21,1,"(64,34)"
2017-05-05,16.18659151,75.93961529,RIOTS,2017,5,5,4,"(65,39)"
2017-05-26,16.18673,75.69665504,RIOTS,2017,5,26,4,"(65,34)"
2017-05-26,16.18621782,76.16436112,RIOTS,2017,5,26,4,"(65,44)"
2017-05-30,16.18635119,76.09881034,RIOTS,2017,5,30,1,"(65,42)"
2017-06-24,16.45652648,75.69614,RIOTS,2017,6,24,5,"(69,34)"
2017-06-26,16.15847518,75.84743591,RIOTS,2017,6,26,0,"(65,37)"
2017-08-26,16.08660327,75.669537,RIOTS,2017,8,26,5,"(64,34)"
2017-10-22,16.1327707,75.69614,RIOTS,2017,10,22,6,"(64,34)"
2018-04-04,16.1584899,75.82870972,RIOTS,2018,4,4,2,"(65,37)"
2018-04-04,16.1584899,75.82870972,RIOTS,2018,4,4,2,"(65,37)"
2018-05-09,16.18673,75.69662695,RIOTS,2018,5,9,2,"(65,34)"
2018-05-15,16.18658065,75.94897971,RIOTS,2018,5,15,1,"(65,39)"
2018-05-15,16.18656938,75.95834414,RIOTS,2018,5,15,1,"(65,40)"
2018-05-24,16.1584899,75.82870972,RIOTS,2018,5,24,3,"(65,37)"
2018-05-27,16.18673,75.69665504,RIOTS,2018,5,27,6,"(65,34)"
2018-07-06,16.18673,75.69665504,RIOTS,2018,7,6,4,"(65,34)"
2018-08-07,16.30328367,76.31274139,RIOTS,2018,8,7,1,"(67,47)"
2018-10-16,16.1327707,75.69614,RIOTS,2018,10,16,1,"(64,34)"
2018-10-17,16.18664805,75.88342872,RIOTS,2018,10,17,2,"(65,38)"
2018-10-19,16.18673,75.69666441,RIOTS,2018,10,19,4,"(65,34)"
2019-01-30,16.143698,75.675654,RIOTS,2019,1,30,2,"(64,34)"
2019-05-27,16.249989,75.897358,RIOTS,2019,5,27,0,"(66,38)"
