FIR_Date,Latitude,Longitude,CrimeGroup_Name,Year,Month,Day,DayOfWeek,grid
2016-05-04,15.80421176,75.91405,BURGLARY - NIGHT,2016,5,4,2,"(60,39)"
2016-09-13,16.15975035,75.69614,BURGLARY - NIGHT,2016,9,13,1,"(65,34)"
2016-10-24,15.81320498,75.91405,BURGLARY - NIGHT,2016,10,24,0,"(60,39)"
2017-02-22,16.15975035,75.69614,BURGLARY - NIGHT,2017,2,22,2,"(65,34)"
2018-05-30,16.05535247,75.95688929,BURGLARY - NIGHT,2018,5,30,2,"(63,40)"
2018-07-25,16.0553524,75.94659524,BURGLARY - NIGHT,2018,7,25,2,"(63,39)"
2019-03-29,15.995498,75.879126,BURGLARY - NIGHT,2019,3,29,4,"(62,38)"
2019-08-23,16.055811,75.952481,BURGLARY - NIGHT,2019,8,23,4,"(63,39)"
2019-12-13,16.026951,75.871049,BURGLARY - NIGHT,2019,12,13,4,"(63,38)"
2019-12-17,16.103914,75.867943,BURGLARY - NIGHT,2019,12,17,1,"(64,38)"
2020-02-25,15.867619,75.950931,BURGLARY - NIGHT,2020,2,25,1,"(61,39)"
2021-02-06,16.030423,75.870706,BURGLARY - NIGHT,2021,2,6,5,"(63,38)"
2021-02-06,16.083112,75.91674,BURGLARY - NIGHT,2021,2,6,5,"(64,39)"
2022-02-09,16.104886,75.8644,BURGLARY - NIGHT,2022,2,9,2,"(64,38)"
2023-08-30,16.057908,75.94685,BURGLARY - NIGHT,2023,8,30,2,"(63,39)"
2023-10-10,15.937718,75.910938,BURGLARY - NIGHT,2023,10,10,1,"(62,39)"
2023-10-12,15.898562,75.931626,BURGLARY - NIGHT,2023,10,12,3,"(61,39)"
2023-11-28,15.943493,75.861448,BURGLARY - NIGHT,2023,11,28,1,"(62,38)"
2023-12-04,15.93972,75.914667,BURGLARY - NIGHT,2023,12,4,0,"(62,39)"
2023-12-25,16.052635,75.870006,BURGLARY - NIGHT,2023,12,25,0,"(63,38)"
2016-04-04,15.90612583,75.33185796,BURGLARY - NIGHT,2016,4,4,0,"(61,27)"
2016-05-04,16.24968251,75.69614,BURGLARY - NIGHT,2016,5,4,2,"(66,34)"
2016-05-04,16.24968251,75.69614,BURGLARY - NIGHT,2016,5,4,2,"(66,34)"
2016-05-04,16.24968251,75.69614,BURGLARY - NIGHT,2016,5,4,2,"(66,34)"
2016-08-29,16.19572322,75.69614,BURGLARY - NIGHT,2016,8,29,0,"(65,34)"
2016-10-12,16.1867298,75.68677556,BURGLARY - NIGHT,2016,10,12,2,"(65,34)"
2016-12-31,15.90609365,75.29445295,BURGLARY - NIGHT,2016,12,31,5,"(61,26)"
2017-04-10,16.18672995,75.70082222,BURGLARY - NIGHT,2017,4,10,0,"(65,34)"
2017-06-13,16.16874357,75.69614,BURGLARY - NIGHT,2017,6,13,1,"(65,34)"
2019-01-10,15.918088,75.679848,BURGLARY - NIGHT,2019,1,10,3,"(61,34)"
2019-01-11,15.908952,75.501123,BURGLARY - NIGHT,2019,1,11,4,"(61,30)"
2019-04-24,15.916858,75.675701,BURGLARY - NIGHT,2019,4,24,2,"(61,34)"
2019-10-04,15.926434,75.676562,BURGLARY - NIGHT,2019,10,4,4,"(62,34)"
2019-11-07,15.908553,75.500462,BURGLARY - NIGHT,2019,11,7,3,"(61,30)"
2019-12-09,15.918423,75.683682,BURGLARY - NIGHT,2019,12,9,0,"(61,34)"
2020-01-12,15.958833,75.790148,BURGLARY - NIGHT,2020,1,12,6,"(62,36)"
2020-02-09,15.983548,75.698719,BURGLARY - NIGHT,2020,2,9,6,"(62,34)"
2021-04-11,15.919988,75.680545,BURGLARY - NIGHT,2021,4,11,6,"(61,34)"
2021-08-06,15.90847,75.686697,BURGLARY - NIGHT,2021,8,6,4,"(61,34)"
2021-08-07,15.908784,75.685969,BURGLARY - NIGHT,2021,8,7,5,"(61,34)"
2021-11-02,16.17773678,75.69614,BURGLARY - NIGHT,2021,11,2,1,"(65,34)"
2021-11-04,16.19572322,75.69614,BURGLARY - NIGHT,2021,11,4,3,"(65,34)"
2021-12-04,15.91191,75.50386,BURGLARY - NIGHT,2021,12,4,5,"(61,30)"
2021-12-30,15.916915,75.675669,BURGLARY - NIGHT,2021,12,30,3,"(61,34)"
2022-06-09,16.28565538,75.69614,BURGLARY - NIGHT,2022,6,9,3,"(66,34)"
2022-06-16,15.6813606,75.5001806,BURGLARY - NIGHT,2022,6,16,3,"(58,30)"
2022-08-12,16.18672995,75.69145778,BURGLARY - NIGHT,2022,8,12,4,"(65,34)"
2022-08-16,16.1867298,75.68677556,BURGLARY - NIGHT,2022,8,16,1,"(65,34)"
2022-08-26,16.19572322,75.69614,BURGLARY - NIGHT,2022,8,26,4,"(65,34)"
2022-10-24,15.72632668,75.5001806,BURGLARY - NIGHT,2022,10,24,0,"(59,30)"
2023-03-31,16.18670951,75.60249562,BURGLARY - NIGHT,2023,3,31,4,"(65,32)"
2023-09-11,15.90612583,75.33185796,BURGLARY - NIGHT,2023,9,11,0,"(61,27)"
2023-11-13,15.844211,75.751731,BURGLARY - NIGHT,2023,11,13,0,"(60,35)"
2023-11-19,15.926744,75.678214,BURGLARY - NIGHT,2023,11,19,6,"(62,34)"
