FIR_Date,Latitude,Longitude,CrimeGroup_Name,Year,Month,Day,DayOfWeek,grid
2020-11-11,16.00686568,75.69614,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2020,11,11,2,"(63,34)"
2021-09-07,15.946658,75.939406,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2021,9,7,1,"(62,39)"
2024-02-11,16.041492,75.937158,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2024,2,11,6,"(63,39)"
2016-03-15,15.90612583,75.33185796,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2016,3,15,1,"(61,27)"
2018-08-18,16.18666362,75.86469986,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2018,8,18,5,"(65,38)"
2020-09-14,15.892554,75.608996,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2020,9,14,0,"(61,33)"
2017-08-07,16.18647903,76.02389507,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2017,8,7,0,"(65,41)"
2019-01-19,16.265733,75.500602,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2019,1,19,5,"(66,30)"
2020-08-04,16.18621782,76.16436112,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2020,8,4,1,"(65,44)"
2020-09-10,16.1867005,75.58376675,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2020,9,10,3,"(65,32)"
2021-04-12,16.286589,75.629661,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2021,4,12,0,"(66,33)"
2021-11-04,16.1867005,75.80851325,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2021,11,4,3,"(65,37)"
2022-09-21,15.908593,75.500805,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2022,9,21,2,"(61,30)"
2023-03-16,15.84498779,75.69614,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2023,3,16,3,"(60,34)"
2023-09-29,16.54645864,75.69614,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2023,9,29,4,"(70,34)"
2023-12-23,15.94501,75.51962,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2023,12,23,5,"(62,31)"
2017-02-05,16.18671341,75.61186006,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2017,2,5,6,"(65,33)"
2022-01-05,16.18631513,76.11753914,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2022,1,5,2,"(65,43)"
2023-03-24,16.15850299,75.80998352,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2023,3,24,4,"(65,37)"
2021-12-15,16.18463272,75.74312976,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2021,12,15,2,"(65,35)"
2022-06-01,16.1867298,75.70550444,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2022,6,1,2,"(65,34)"
2023-03-21,16.1867298,75.68677556,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2023,3,21,1,"(65,34)"
2023-03-23,16.18672918,75.71486888,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2023,3,23,3,"(65,35)"
2023-10-21,16.185959,75.689749,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2023,10,21,5,"(65,34)"
2023-11-29,16.186047,75.697948,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2023,11,29,2,"(65,34)"
2020-09-13,16.21370965,75.69614,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2020,9,13,6,"(65,34)"
2021-03-21,16.535483,75.173363,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2021,3,21,6,"(70,24)"
2023-09-28,16.27672205,75.8910915,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2023,9,28,3,"(66,38)"
2017-03-31,16.41695505,75.23135967,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2017,3,31,4,"(68,25)"
2017-07-14,15.88096065,75.69614,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2017,7,14,4,"(61,34)"
2019-03-09,16.417513,75.438312,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2019,3,9,5,"(68,29)"
2020-08-11,16.18672672,75.73359775,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2020,8,11,1,"(65,35)"
2022-01-09,16.41139921,75.46736818,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2022,1,9,6,"(68,30)"
2019-12-01,15.975201,75.852217,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2019,12,1,6,"(62,37)"
2020-09-12,16.20471643,75.69614,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2020,9,12,5,"(65,34)"
2017-05-16,16.32162824,75.69614,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2017,5,16,1,"(67,34)"
2020-09-14,16.09679784,75.69614,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2020,9,14,0,"(64,34)"
2020-09-24,16.16874357,75.69614,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2020,9,24,3,"(65,34)"
2016-05-16,16.18665604,75.51821571,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2016,5,16,0,"(65,31)"
2016-08-10,16.18667079,75.53694458,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2016,8,10,2,"(65,31)"
2017-09-11,16.18666362,75.52758014,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2017,9,11,0,"(65,31)"
2018-06-14,16.1867005,75.58376675,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2018,6,14,3,"(65,32)"
2020-10-01,16.18667755,75.84597099,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2020,10,1,3,"(65,37)"
2023-04-17,16.49858,75.29127,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2023,4,17,0,"(69,26)"
2020-11-08,16.80524665,75.73625885,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2020,11,8,6,"(73,35)"
2024-01-06,16.0,75.0,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2024,1,6,5,"(63,20)"
2017-08-21,16.18672262,75.75232663,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2017,8,21,0,"(65,35)"
2020-03-04,16.205912,75.507002,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2020,3,4,2,"(65,31)"
2020-09-30,16.19874688,75.4990676,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2020,9,30,2,"(65,30)"
2017-03-11,16.17773678,75.69614,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2017,3,11,5,"(65,34)"
2020-04-15,16.106341,75.433308,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2020,4,15,2,"(64,29)"
2020-09-12,16.11478427,75.69614,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2020,9,12,5,"(64,34)"
2019-06-24,16.373635,75.114935,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2019,6,24,0,"(68,23)"
2019-12-21,16.16874357,75.69614,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2019,12,21,5,"(65,34)"
2017-02-07,16.20471643,75.69614,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2017,2,7,1,"(65,34)"
2018-09-07,16.2406893,75.69614,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2018,9,7,4,"(66,34)"
2020-01-22,16.343473,75.26196,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2020,1,22,2,"(67,26)"
2023-03-24,16.36607,75.398489,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2023,3,24,4,"(67,28)"
2024-02-16,16.378562,75.192778,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2024,2,16,4,"(68,24)"
2023-03-13,16.15975035,75.69614,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2023,3,13,0,"(65,34)"
2023-03-15,16.18672918,75.67741112,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2023,3,15,2,"(65,34)"
2023-12-22,16.150977,75.665563,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2023,12,22,4,"(65,34)"
2023-12-22,16.167598,75.656017,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2023,12,22,4,"(65,33)"
2024-01-17,16.162944,75.664296,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2024,1,17,2,"(65,34)"
2024-01-20,16.159016,75.6614,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2024,1,20,5,"(65,34)"
2016-11-28,16.18668984,75.82724212,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2016,11,28,0,"(65,37)"
2017-04-07,16.09679784,75.69614,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2017,4,7,4,"(64,34)"
2017-09-15,16.1867005,75.80851325,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2017,9,15,4,"(65,37)"
2017-10-24,16.07881141,75.69614,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2017,10,24,1,"(64,34)"
2017-10-24,16.18671689,75.62122449,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2017,10,24,1,"(65,33)"
2019-02-06,16.61063,75.421259,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2019,2,6,2,"(71,29)"
2019-11-04,16.09679784,75.69614,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2019,11,4,0,"(64,34)"
2020-09-14,16.06082498,75.69614,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2020,9,14,0,"(63,34)"
2020-09-15,16.06082498,75.69614,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2020,9,15,1,"(63,34)"
2020-09-15,16.05183176,75.69614,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2020,9,15,1,"(63,34)"
2021-03-27,16.616369,75.395255,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2021,3,27,5,"(71,28)"
2021-06-05,16.586197,75.475626,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2021,6,5,5,"(70,30)"
2022-05-11,16.18672262,75.75232663,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2022,5,11,2,"(65,35)"
2023-07-21,16.18670951,75.78978438,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2023,7,21,4,"(65,36)"
2019-10-24,16.473542,75.078679,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2019,10,24,3,"(69,22)"
2020-09-17,16.18672488,75.64931781,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2020,9,17,3,"(65,33)"
2021-09-22,16.46628,75.041775,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2021,9,22,2,"(69,21)"
2022-03-11,16.47738704,75.19809756,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2022,3,11,4,"(69,24)"
2022-07-11,16.47739518,75.16996245,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2022,7,11,0,"(69,24)"
2023-10-27,16.483309,75.035821,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2023,10,27,4,"(69,21)"
2024-01-15,16.492082,75.068786,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2024,1,15,0,"(69,22)"
2021-03-19,15.14574924,76.93614369,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2021,3,19,4,"(51,59)"
2023-12-17,15.133171,76.921321,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2023,12,17,6,"(51,59)"
2023-12-17,15.124352,76.916045,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2023,12,17,6,"(51,59)"
2018-01-15,15.14557806,76.63800486,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2018,1,15,0,"(51,53)"
2019-02-08,15.14567358,77.10384682,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2019,2,8,4,"(51,63)"
2019-02-13,15.21769573,76.91751,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2019,2,13,2,"(52,59)"
2019-02-19,15.14630758,76.91751,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2019,2,19,1,"(51,59)"
2020-09-29,15.14574312,76.97341106,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2020,9,29,1,"(51,60)"
2020-12-05,15.14574522,76.96409421,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2020,12,5,5,"(51,60)"
2021-01-23,15.14573777,76.84297526,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2021,1,23,5,"(51,57)"
2022-09-02,15.14574828,76.88955947,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2022,9,2,4,"(51,58)"
2023-11-18,15.135452,76.932076,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2023,11,18,5,"(51,59)"
2023-11-29,15.13476,76.907584,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2023,11,29,2,"(51,59)"
2024-01-29,15.090411,76.554211,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2024,1,29,0,"(50,51)"
2017-01-14,15.2562588,76.9795775,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2017,1,14,5,"(53,60)"
2017-04-29,15.29223166,76.9795775,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2017,4,29,5,"(53,60)"
2017-10-03,15.0917907,76.91751,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2017,10,3,1,"(50,59)"
2017-11-27,15.14570702,77.05726263,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2017,11,27,0,"(51,62)"
2018-08-08,15.10977714,76.91751,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2018,8,8,2,"(51,59)"
