Latitude,Longitude,CrimeGroup_Name,Year,Month,Day
16.055611,75.9509,CHEATING,2024,1,Wednesday
15.943551,75.921988,KARNATAKA POLICE ACT 1963,2024,1,Wednesday
16.139236,75.915011,KARNATAKA POLICE ACT 1963,2024,1,Friday
16.056919,75.943347,KARNATAKA POLICE ACT 1963,2024,1,Friday
16.123564,75.526865,THEFT,2024,1,Sunday
15.93496,75.915771,KARNATAKA POLICE ACT 1963,2024,1,Wednesday
15.875772,75.950958,MOLESTATION,2024,1,Wednesday
15.875711,75.951211,RIOTS,2024,1,Wednesday
16.123564,75.654231,THEFT,2024,1,Thursday
15.979324,75.875515,THEFT,2024,1,Thursday
16.090007,75.865842,THEFT,2024,1,Thursday
15.937271,75.915365,KARNATAKA POLICE ACT 1963,2024,1,Saturday
16.458696,75.485698,KARNATAKA POLICE ACT 1963,2024,2,Saturday
16.057007,75.944817,Karnataka State Local Act,2024,2,Thursday
16.041735,75.938056,KARNATAKA POLICE ACT 1963,2024,2,Thursday
16.041492,75.937158,NARCOTIC DRUGS & PSHYCOTROPIC SUBSTANCES,2024,2,Sunday
16.123566,75.124564,CASES OF HURT,2024,2,Sunday
15.933967,75.884677,Karnataka State Local Act,2024,2,Monday
15.931046,75.678335,KARNATAKA POLICE ACT 1963,2024,1,Tuesday
15.946222,75.753146,THEFT,2024,1,Sunday
15.929037,75.676522,THEFT,2024,1,Wednesday
15.840651,75.524431,CASES OF HURT,2024,1,Saturday
15.904561,75.497542,MOLESTATION,2024,1,Monday
15.904561,75.497542,MOLESTATION,2024,1,Tuesday
15.880395,75.801881,Karnataka State Local Act,2024,1,Monday
15.900972,75.693398,THEFT,2024,1,Friday
15.887991,75.702801,MISSING PERSON,2024,1,Monday
15.873382,75.498621,THEFT,2024,2,Friday
15.840651,75.524431,CASES OF HURT,2024,2,Wednesday
15.94532,75.76025,KARNATAKA POLICE ACT 1963,2024,2,Wednesday
15.888515,75.705101,THEFT,2024,2,Friday
15.908665,75.688334,THEFT,2024,2,Thursday
15.889476,75.704084,THEFT,2024,2,Tuesday
15.90877,75.50389,THEFT,2024,2,Wednesday
16.179562,75.698974, CYBER CRIME,2024,1,Sunday
15.852578,75.746762,Karnataka State Local Act,2024,1,Wednesday
16.252816,75.254291, CYBER CRIME,2024,1,Wednesday
16.1709,76.005941,Karnataka State Local Act,2024,1,Tuesday
16.129471,75.816931,Karnataka State Local Act,2024,2,Thursday
16.30209,75.17271,CHEATING,2024,2,Wednesday
16.159503,75.774681,CHEATING,2024,2,Thursday
16.179243,75.694584, CYBER CRIME,2024,3,Monday
16.275006,75.855354,THEFT,2024,1,Wednesday
16.185172,75.620071,CASES OF HURT,2024,1,Saturday
16.301452,75.890639,MISSING PERSON,2024,1,Wednesday
16.280455,75.834229,CASES OF HURT,2024,1,Thursday
16.830231,75.704449,MISSING PERSON,2024,1,Sunday
16.101488,75.781533,KARNATAKA POLICE ACT 1963,2024,1,Monday
16.0924,75.9274,KARNATAKA POLICE ACT 1963,2024,2,Wednesday
16.318625,75.888691,MOLESTATION,2024,2,Tuesday
16.09946,75.7922,MISSING PERSON,2024,2,Friday
16.148926,75.692188,MISSING PERSON,2024,3,Saturday
16.191256,75.704624,KARNATAKA POLICE ACT 1963,2024,1,Saturday
