FIR_Date,Latitude,Longitude,CrimeGroup_Name,Year,Month,Day,DayOfWeek,grid
2023-09-24,15.993124,75.943519, CYBER CRIME,2023,9,24,6,"(62,39)"
2016-05-26,16.17773678,75.69614, CYBER CRIME,2016,5,26,3,"(65,34)"
2017-08-10,16.18673,75.69522229, CYBER CRIME,2017,8,10,3,"(65,34)"
2018-11-29,16.18672488,75.64931781, CYBER CRIME,2018,11,29,3,"(65,33)"
2019-05-03,16.425083,75.111969, CYBER CRIME,2019,5,3,4,"(68,23)"
2019-11-05,15.93917,75.914455, CYBER CRIME,2019,11,5,1,"(62,39)"
2020-05-26,16.172285,75.659627, CYBER CRIME,2020,5,26,1,"(65,34)"
2020-05-31,16.18672918,75.67741112, CYBER CRIME,2020,5,31,6,"(65,34)"
2021-01-05,16.18672816,75.66804668, CYBER CRIME,2021,1,5,1,"(65,34)"
2021-01-19,16.18673,75.69668314, CYBER CRIME,2021,1,19,1,"(65,34)"
2021-01-25,16.1867005,75.58376675, CYBER CRIME,2021,1,25,0,"(65,32)"
2021-02-12,16.18626235,75.69614, CYBER CRIME,2021,2,12,4,"(65,34)"
2021-04-21,16.22270286,75.69614, CYBER CRIME,2021,4,21,2,"(66,34)"
2021-07-01,16.191133,75.707138, CYBER CRIME,2021,7,1,3,"(65,35)"
2021-07-29,16.178395,75.663819, CYBER CRIME,2021,7,29,3,"(65,34)"
2021-09-14,16.18631513,76.11753914, CYBER CRIME,2021,9,14,1,"(65,43)"
2021-09-15,16.18672672,75.65868225, CYBER CRIME,2021,9,15,2,"(65,34)"
2021-10-11,16.18673,75.69665504, CYBER CRIME,2021,10,11,0,"(65,34)"
2021-10-13,16.25867573,75.69614, CYBER CRIME,2021,10,13,2,"(66,34)"
2021-10-28,16.1864022,75.32156287, CYBER CRIME,2021,10,28,3,"(65,27)"
2021-11-13,16.18673,75.6952972, CYBER CRIME,2021,11,13,5,"(65,34)"
2021-11-17,16.182022,75.697885, CYBER CRIME,2021,11,17,2,"(65,34)"
2021-11-26,16.18660195,75.93025086, CYBER CRIME,2021,11,26,4,"(65,39)"
2022-01-13,16.22270286,75.69614, CYBER CRIME,2022,1,13,3,"(66,34)"
2022-02-23,16.149353,75.367542, CYBER CRIME,2022,2,23,2,"(65,28)"
2022-03-05,16.18672816,75.66804668, CYBER CRIME,2022,3,5,5,"(65,34)"
2022-03-30,16.14519,75.653446, CYBER CRIME,2022,3,30,2,"(64,33)"
2022-04-01,16.1805,75.696104, CYBER CRIME,2022,4,1,4,"(65,34)"
2022-05-01,16.50149256,75.69614, CYBER CRIME,2022,5,1,6,"(69,34)"
2022-07-06,16.18672918,75.67741112, CYBER CRIME,2022,7,6,2,"(65,34)"
2022-07-16,16.18452,75.700013, CYBER CRIME,2022,7,16,5,"(65,34)"
2022-07-27,15.82700136,75.69614, CYBER CRIME,2022,7,27,2,"(60,34)"
2022-08-10,16.1867298,75.68677556, CYBER CRIME,2022,8,10,2,"(65,34)"
2022-08-14,16.18667079,75.85533542, CYBER CRIME,2022,8,14,6,"(65,37)"
2022-09-14,16.18667755,75.84597099, CYBER CRIME,2022,9,14,2,"(65,37)"
2022-09-29,16.18673,75.6952972, CYBER CRIME,2022,9,29,3,"(65,34)"
2022-10-25,16.18672918,75.67741112, CYBER CRIME,2022,10,25,1,"(65,34)"
2022-10-25,16.18673,75.69670187, CYBER CRIME,2022,10,25,1,"(65,34)"
2022-11-03,16.18672672,75.65868225, CYBER CRIME,2022,11,3,3,"(65,34)"
2022-11-16,16.18673,75.69525038, CYBER CRIME,2022,11,16,2,"(65,34)"
2022-11-28,16.18673,75.69562496, CYBER CRIME,2022,11,28,0,"(65,34)"
2022-12-19,16.18673,75.69557813, CYBER CRIME,2022,12,19,0,"(65,34)"
2022-12-26,16.23169608,75.69614, CYBER CRIME,2022,12,26,0,"(66,34)"
2023-01-02,16.18673,75.69557813, CYBER CRIME,2023,1,2,0,"(65,34)"
2023-02-14,16.18631513,75.27474086, CYBER CRIME,2023,2,14,1,"(65,26)"
2023-02-15,15.941009,75.872386, CYBER CRIME,2023,2,15,2,"(62,38)"
2023-02-20,16.18672999,75.69436076, CYBER CRIME,2023,2,20,0,"(65,34)"
2023-03-14,16.54645864,75.69614, CYBER CRIME,2023,3,14,1,"(70,34)"
2023-03-15,16.22270286,75.69614, CYBER CRIME,2023,3,15,2,"(66,34)"
2023-03-31,16.18673,75.69515673, CYBER CRIME,2023,3,31,4,"(65,34)"
2023-03-31,16.18673,75.69548449, CYBER CRIME,2023,3,31,4,"(65,34)"
2023-03-31,15.91693352,75.69614, CYBER CRIME,2023,3,31,4,"(61,34)"
2023-03-31,16.18673,75.69548449, CYBER CRIME,2023,3,31,4,"(65,34)"
2023-03-31,15.91693352,75.69614, CYBER CRIME,2023,3,31,4,"(61,34)"
2023-04-03,16.23169608,75.69614, CYBER CRIME,2023,4,3,0,"(66,34)"
2023-04-12,16.18673,75.69679551, CYBER CRIME,2023,4,12,2,"(65,34)"
2023-04-13,15.86297422,75.69614, CYBER CRIME,2023,4,13,3,"(61,34)"
2023-04-18,16.18673,75.69548449, CYBER CRIME,2023,4,18,1,"(65,34)"
2023-04-21,16.23169608,75.69614, CYBER CRIME,2023,4,21,4,"(66,34)"
